time measured
0 -0.80043377985
2 2.62860386723
4 1.71659085695
6 4.38519265926
8 1.8622288221
10 2.795861241
12 4.64447257611
14 2.21124643225
16 5.85229214502
18 6.33801611352
20 9.91389758826
22 8.14979766692
24 11.3075532766
26 13.7160528255
28 17.9289211394
30 20.7912172731
32 18.3913796535
34 27.5194349783
36 31.7998206795
38 37.7896220153
40 39.0663749928
42 41.5351707832
44 50.4136533692
46 54.8836889715
48 55.2464421349
50 61.1013476858
52 63.4361435945
54 67.9686250686
56 69.4606975165
58 71.2168969088
60 71.9242050459
62 74.4304857564
64 76.838182114
66 78.3491313957
68 76.5496779772

