time measured
0 2.91200314169
6 0.123128382076
12 1.15635589552
18 8.41093550401
24 12.8919380904
30 19.8578824131
36 30.6508565462
42 46.1362739987
48 57.9926463597
54 64.7850244677
60 74.9172450069
66 76.5932168959
68 79.8067557746

time measured
4 3.17150206422
10 2.39340317214
16 5.24837343375
22 12.115652246
28 16.9861767376
34 26.1422451603
40 38.3798358562
46 54.7514080546
52 63.3198147128
58 72.573560105
60 74.5220465825
62 71.7879918302
64 73.9226254277
68 76.7587123814


time measured
0 3.20180485283
2 2.13967508853
4 2.64076782816
6 1.76484473624
8 2.33259325434
14 2.17358156964
16 6.88015607031
18 6.14042138107
24 11.7392050185
26 12.8563925648
28 14.1999830744
34 26.1736138822
36 33.8098823421
42 44.1346233103
44 49.4913509679
50 63.1560319724
52 62.2882149881
58 68.885264465
60 73.7474900482
66 75.7118559954
68 79.9964545423
time measured
0 -1.30065121228
2 0.21716449278
4 1.30841984626
6 1.70331486684
12 7.78330784039
14 3.43462493752
20 6.10140279287
22 11.9153187756
28 20.4107616505
30 19.9285309566
36 30.0742664618
38 35.8637418872
40 44.7545798356
46 52.6894805033
48 55.115065218
54 70.6703750821
56 70.6937871164
58 70.3959817176
64 78.1047975945
66 74.1352871073
