group1,-32.69,-17.72,-30.14,42.63,29.27,38.42
group6,25.37,5.31,-49,-10.44,41.8,NAN,0.62,-23.18,-27.86,-15.14,-39.06
group7,41.12,-14.84,-30.12,NAN,0.89,14.73,-46.05,-13.14,
group1,49.63,-34.04,NAN,0.61
group1,4.8,12.93,
group4,-28.31,-7.95,-5.41,-48.5,6.04,-41.59,25.79,14.38,-41.87,45.85,8
group8,21.4,48.23,47.99,2.63,48.1,-24.46,-7.17,44.46,42.37,14.76,-24.18
group6,46.01,NAN,0.33,32.99,7.88,18.11,-38.27,7.61,-23.03,NAN,0.45
group9,6.31,-48.11,-8.45,46.44,22.75,-38.56,-5.71,-20.55,18.33,-23.05,-32.08
group6,30.65,3.95,-12.66,22.24,4.38,NAN,0.01,-11.34
group4,NAN,0.56,16.38,-8.01,NAN,0.42,42.1,43.79,44.92,33.48,-36.04
group6,-38.88,NAN,0.93,40.44,37.08,-23.32,-17.25,25.47,
group9,NAN,0.6,37.55,-28.28,-31.29,-21.4,4.8,-8.8,-13.92,34.82,26.36
group9,33.48,NAN,1,18.97,22.67,49.99,
group4,NAN,0.77,-25.95,14.65,-45.14
group5,NAN,0.18,41.97,-11.63,27.43,-38.19,12.81,-4.55,-44.2,NAN,0.96
group1,44.83,13.93,45.74,NAN,0.23,-31.25,6.2,NAN,0.54,20.49,-5.58
group3,-16.75,4.1,32.39,-33.49,-31.35,-17.99,21.46,-35.05,-15.54,-33.53,
group8,-25.71,2.51,26.61,-38.21,31.48,38.97,-2.86,
group3,-32.91,-14.36,-36.7,-34.64,8.75,-12.38,27.89,-3.3,40.84,25.34,-24.41
group6,NAN,0.48,-12.91,29.99,-34.93,16.07,11.53,-32.93,-34.26,NAN,0.16
group7,-7.31,NAN,0.99,27.92,-44.15,34.63,21,13.49,9.2,-39.15,49.14
group0,-8.31,,,,blafasel,
group1,-47.73,21.18,-41.08,19.02,19.02,29.2,32.78,,hidden message,
group9,45.49,4.87,-17.11,36.17,9.85,6.8,5.8,26.79,-11.22,-2.29,23.57
group5,27.85,-44.46,-5.85,32.57,-39.4,-43.36,-11.84,48.63,-12.35,15.65,
group7,34.47,-30.54,NAN,0.11,NAN,0.19,41.77,-22.23,40.15,
group5,-22.36,-2.88,-43.38,-25.85,-43.41,-3.96,-22.62,-23.5,28.99,28.88,-38.51
group0,-32.25,-1.98,20.28,36.91,-48.29,-32.05,22.84,6.77,NAN,0.37,NAN
group2,40.16,-44.91,26.17,-20.26,2.45,26.14,NAN,0.73,-32.63,-2.88,-30.42
group7,-46.03,3.52,-22.26,39.03,49.63,-48.12,-42.89,14.21,48.03,-11.3,-49.09
group3,45.45,41.64,38.34,NAN,0.33,41.38,39.96,19.64
group8,-26.23,-48.77,-38.74,NAN,0.23,7.92,NAN,0.71,-19.34,
group8,-1.32,19.5,-47.22,8.41,-23.65,0.41,4.42,22.01,NAN,0.47,-13.78
group4,-33.77,-8.09,-39.52,-31.74,-47.03,37.42,28.3,0.21,-45.88,48.15,36.16
group11,NAN,0.56,
